name,isPoly,callsPoly,nsends,loc
apache-directorystudio_r817075_20090920-LdifEntryEditorNavigationLocation-getText, false, false, 3, 4
apache-directorystudio_r817075_20090920-OpenEntryEditorAction-getValueEditor, false, false, 0, 3
apache-directorystudio_r817075_20090920-7-widgetSelected, false, false, 1, 3
apache-directorystudio_r817075_20090920-DifferenceEngine-getEqualityDifference, false, true, 9, 29
apache-directorystudio_r817075_20090920-AttributeTypeDescriptionPage-getSorter, true, false, 1, 3
apache-directorystudio_r817075_20090920-ReloadSchemaAction-run, false, false, 6, 8
apache-directorystudio_r817075_20090920-SchemaBrowserInput-exists, false, false, 0, 3
apache-directorystudio_r817075_20090920-LdapSyntaxDescriptionDetailsPage-createContents, true, false, 12, 31
apache-directorystudio_r817075_20090920-Messages-getString, false, false, 1, 10
apache-directorystudio_r817075_20090920-ServerConfigurationV152-isEnableDns, false, false, 0, 3
apache-directorystudio_r817075_20090920-Partition-setEnableOptimizer, false, false, 0, 3
apache-directorystudio_r817075_20090920-SelectReferralConnectionDialog-close, false, true, 6, 15
apache-directorystudio_r817075_20090920-InterceptorDetailsPage-refresh, false, false, 3, 9
apache-directorystudio_r817075_20090920-AuthenticationPage-editSelectedSaslRealm, false, false, 13, 22
apache-directorystudio_r817075_20090920-SaslRealmDialog-addListeners, false, false, 2, 9
apache-directorystudio_r817075_20090920-ExtendedOperationDetailsPage-createContents, false, false, 4, 11
apache-directorystudio_r817075_20090920-ExtendedOperationsMasterDetailsBlock-addListeners, false, false, 4, 43
apache-directorystudio_r817075_20090920-ExtendedOperationDetailsPage-ExtendedOperationDetailsPage, false, false, 0, 0
apache-directorystudio_r817075_20090920-ServerConfigurationV150-getMaxThreads, false, false, 0, 3
apache-directorystudio_r817075_20090920-ServerXmlIOV150-readInterceptors, false, false, 7, 18
apache-directorystudio_r817075_20090920-ExtendedOperationDetailsPage-commit, false, false, 2, 6
apache-directorystudio_r817075_20090920-PartitionDetailsPage-createDetailsSection, false, false, 16, 47
apache-directorystudio_r817075_20090920-PartitionDetailsPage-refresh, false, false, 13, 31
apache-directorystudio_r817075_20090920-InterceptorDialog-okPressed, false, false, 4, 9
apache-directorystudio_r817075_20090920-LdifEntryEditorDialog-createButtonsForButtonBar, false, false, 4, 7
apache-directorystudio_r817075_20090920-AddressDialog-configureShell, false, false, 6, 5
apache-directorystudio_r817075_20090920-AttributeValueDialog-okPressed, false, false, 4, 6
apache-directorystudio_r817075_20090920-NewEntryTypeWizardPage-NewEntryTypeWizardPage, false, false, 7, 10
apache-directorystudio_r817075_20090920-ColorsAndFontsPage-setInfo, false, false, 4, 7
apache-directorystudio_r817075_20090920-Messages-getString, false, false, 1, 10
apache-ecs_r821723_20091005-Element-getTagPosition, true, false, 0, 0
apache-ecs_r821723_20091005-Filter-removeAttribute, true, false, 0, 0
apache-ecs_r821723_20091005-ElementAttributes-setAttributeFilterState, true, false, 0, 4
apache-ecs_r821723_20091005-Doctype-setVisibility, false, false, 1, 5
apache-ecs_r821723_20091005-Document-setCodeset, false, false, 0, 3
apache-ecs_r821723_20091005-ECSDefaults-getDefaultBeginStartModifier, false, false, 0, 3
apache-ecs_r821723_20091005-GenericElement-getFilter, false, false, 0, 3
apache-ecs_r821723_20091005-GenericElement-setEndModifier, false, false, 2, 7
apache-ecs_r821723_20091005-FormEvents-setOnSelect, true, false, 0, 0
apache-ecs_r821723_20091005-FrameSetDocument-getHead, false, false, 0, 3
apache-ecs_r821723_20091005-XhtmlDocument-appendBody, false, false, 1, 4
apache-ecs_r821723_20091005-XhtmlFrameSetDocument-setCodeset, false, false, 0, 3
apache-ecs_r821723_20091005-HTMLTokenizer-addToken, false, false, 3, 6
apache-ecs_r821723_20091005-NullFilter-removeAttribute, true, false, 0, 3
apache-ecs_r821723_20091005-WordFilter-removeAttribute, true, false, 1, 10
apache-ecs_r821723_20091005-Body-setOnKeyPress, true, false, 1, 3
apache-ecs_r821723_20091005-Table-setOnKeyDown, true, false, 1, 3
apache-ecs_r821723_20091005-TD-setOnMouseMove, true, false, 1, 3
apache-ecs_r821723_20091005-A-setRev, false, false, 1, 4
apache-ecs_r821723_20091005-TR-setOnDblClick, true, false, 1, 3
apache-ecs_r821723_20091005-NoFrames-setOnClick, true, false, 1, 3
apache-ecs_r821723_20091005-Acronym-setOnKeyDown, true, false, 1, 3
apache-ecs_r821723_20091005-Span-setOnKeyPress, true, false, 1, 3
apache-ecs_r821723_20091005-Applet-setName, false, false, 1, 4
apache-ecs_r821723_20091005-B-setOnKeyUp, true, false, 1, 3
apache-ecs_r821723_20091005-Bdo-Bdo, false, false, 1, 3
